CRASH_ID,UNIT_NBR,UNIT_DESC_ID,VEH_PARKED_FL,VEH_HNR_FL,VEH_LIC_STATE_ID,VIN,VEH_MOD_YEAR,VEH_COLOR_ID,VEH_MAKE_ID,VEH_MOD_ID,VEH_BODY_STYL_ID,EMER_RESPNDR_FL,OWNR_ZIP,FIN_RESP_PROOF_ID,FIN_RESP_TYPE_ID,VEH_DMAG_AREA_1_ID,VEH_DMAG_SCL_1_ID,FORCE_DIR_1_ID,VEH_DMAG_AREA_2_ID,VEH_DMAG_SCL_2_ID,FORCE_DIR_2_ID,VEH_INVENTORIED_FL,VEH_TRANSP_NAME,VEH_TRANSP_DEST,CONTRIB_FACTR_1_ID,CONTRIB_FACTR_2_ID,CONTRIB_FACTR_P1_ID,VEH_TRVL_DIR_ID,FIRST_HARM_EVT_INV_ID,INCAP_INJRY_CNT,NONINCAP_INJRY_CNT,POSS_INJRY_CNT,NON_INJRY_CNT,UNKN_INJRY_CNT,TOT_INJRY_CNT,DEATH_CNT
14840537,2,MOTOR VEHICLE,N,N,MX,3H1JC30405D400818,2005,RED,HONDA,NA,MOTORCYCLE,N,0,2,NA,BACK END DAMAGE CONCENTRATED IMPACT,DAMAGED 5,6,"MOTORCYCLE, SCOOTER, MOPED, ETC. ONLY",DAMAGED 1 MINIMUM,6,N,DRIVER,PRIVATE TOW,NONE,NA,NA,EAST,Y,0,1,0,0,0,1,0
14842665,2,MOTOR VEHICLE,N,N,TX,JH2SC68HXEK200108,NA,RED,HONDA,UNKNOWN,MOTORCYCLE,N,77423,1,PROOF OF LIABILITY INSURANCE,"MOTORCYCLE, SCOOTER, MOPED, ETC. ONLY",DAMAGED 1 MINIMUM,NA,NA,NA,NA,N,GREGORY'S WRECKER SERVICE (281) 934-8711,"1450 KELLNER RD, BROOKSHIRE, TX, 77423",NONE,NA,NA,NORTHEAST,Y,0,2,0,0,0,2,0
14842773,2,MOTOR VEHICLE,N,N,TX,1HD1KBM18BB679048,NA,BLK,HARLEY-DAVIDSON,NA,MOTORCYCLE,N,77071,1,PROOF OF LIABILITY INSURANCE,"MOTORCYCLE, SCOOTER, MOPED, ETC. ONLY",DAMAGED 1 MINIMUM,NA,NA,NA,NA,N,NOT TOWED,NOT TOWED,NONE,NA,NA,WEST,Y,1,0,0,0,0,1,0
14850788,2,MOTOR VEHICLE,N,N,TX,MLHPC4611D5000222,NA,BLK,HONDA,NA,MOTORCYCLE,N,78744,1,PROOF OF LIABILITY INSURANCE,RIGHT FRONT QUARTER DAMAGE ANGULAR IMPACT,DAMAGED 5,4,NA,NA,NA,N,ROCHAS TOWING,5700 BURLESON,NONE,NA,NA,EAST,Y,1,0,0,0,0,1,0
14853368,1,MOTOR VEHICLE,N,N,TX,1HD1JDB156Y086526,2006,BLK,HARLEY-DAVIDSON,UNKNOWN,MOTORCYCLE,N,76248,1,PROOF OF LIABILITY INSURANCE,RIGHT SIDE DAMAGE ANGULAR IMPACT,DAMAGED 3,2,NA,NA,NA,N,,,FAILED TO CONTROL SPEED,NA,NA,NORTHWEST,Y,0,1,0,0,0,1,0
14854198,1,MOTOR VEHICLE,N,N,TX,JS1GW71A662112726,2006,BLK,SUZUKI,NA,MOTORCYCLE,N,77091,1,PROOF OF LIABILITY INSURANCE,"MOTORCYCLE, SCOOTER, MOPED, ETC. ONLY",DAMAGED 1 MINIMUM,6,"MOTORCYCLE, SCOOTER, MOPED, ETC. ONLY",DAMAGED 1 MINIMUM,5,N,EXPRO COLLISION,"1700 BRITTMOORE HOUSTON, TX 77043",FAILED TO DRIVE IN SINGLE LANE,NA,NA,EAST,Y,0,0,1,0,0,1,0
14855428,2,MOTOR VEHICLE,N,N,TX,JH2PC0814GM300881,1986,BLK,HONDA,UNKNOWN,MOTORCYCLE,N,79904,2,NA,LEFT SIDE DAMAGE ANGULAR IMPACT,DAMAGED 2,3,NA,NA,NA,N,,,NONE,NA,NA,EAST,Y,0,0,1,0,0,1,0
14855642,1,MOTOR VEHICLE,N,N,TX,1HFSC180XTA003776,1996,MAR,HONDA,NA,MOTORCYCLE,N,78207,2,NA,LEFT SIDE DAMAGE ANGULAR IMPACT,DAMAGED 1 MINIMUM,10,LEFT SIDE DAMAGE ANGULAR IMPACT,DAMAGED 2,9,N,TEXAS TOWING,GROWDON POUND,SPEEDING - (OVERLIMIT),NA,NA,WEST,Y,0,1,0,0,0,1,0
14858229,2,MOTOR VEHICLE,N,N,TX,1HD1FHW196Y687635,2006,BLK,HARLEY-DAVIDSON,NA,MOTORCYCLE,N,77546,1,PROOF OF LIABILITY INSURANCE,RIGHT SIDE DAMAGE ANGULAR IMPACT,DAMAGED 1 MINIMUM,3,NA,NA,NA,N,OWNER,DRIVEN FROM SCENE,NONE,NA,NA,WEST,Y,0,0,0,1,0,0,0
14858705,1,MOTOR VEHICLE,N,N,OK,1HD1JT915GC012165,NA,BLK,HARLEY-DAVIDSON,UNKNOWN,MOTORCYCLE,N,74129,1,PROOF OF LIABILITY INSURANCE,FRONT END DAMAGE CONCENTRATED IMPACT,DAMAGED 3,12,NA,NA,NA,N,EDD'S TOWING,"708B KATY RD, KELLER TEXAS",DRIVER INATTENTION,FAILED TO CONTROL SPEED,NA,EAST,Y,0,0,0,1,0,0,0
14859363,2,MOTOR VEHICLE,N,N,TX,JH2PC4003EK700062,NA,RED,HONDA,NA,MOTORCYCLE,N,78336,1,LIABILITY INSURANCE POLICY,"MOTORCYCLE, SCOOTER, MOPED, ETC. ONLY",DAMAGED 1 MINIMUM,NA,NA,NA,NA,Y,E&J WRECKER SERVICE,102 W HAZLETT AVE,NONE,NA,NA,WEST,Y,1,0,0,0,0,1,0
14860782,2,MOTOR VEHICLE,N,N,TX,1HD1GDV1XYY328059,2000,BLK,HARLEY-DAVIDSON,NA,MOTORCYCLE,N,77707,1,LIABILITY INSURANCE POLICY,"MOTORCYCLE, SCOOTER, MOPED, ETC. ONLY",DAMAGED 1 MINIMUM,12,NA,NA,NA,N,TOP GUN WRECKER,WRECKER LOT,NONE,NA,NA,NORTH,Y,1,0,0,0,0,1,0
14861050,2,MOTOR VEHICLE,N,N,TX,JS1VP53A252105504,2005,BLU,SUZUKI,NA,MOTORCYCLE,N,76549,1,LIABILITY INSURANCE POLICY,FRONT END DAMAGE DISTRIBUTED IMPACT,DAMAGED 4,12,NA,NA,NA,N,ACTION TOWING (254)628-1012,"4305 TRIMMIER  KILLEEN, TX  76542",NONE,NA,NA,SOUTH,Y,0,1,0,0,0,1,0
14861627,2,MOTOR VEHICLE,N,N,TX,1HFSC2207RA600360,1994,BLU,HONDA,NA,MOTORCYCLE,N,77586,1,PROOF OF LIABILITY INSURANCE,RIGHT FRONT QUARTER DAMAGE ANGULAR IMPACT,DAMAGED 3,1,NA,NA,NA,N,DRIVER,PARKED IN PRIVATE LOT,NONE,NA,NA,EAST,Y,0,1,0,0,0,1,0
14861654,1,MOTOR VEHICLE,N,N,TX,1HD1GY415AC330331,NA,BLU,HARLEY-DAVIDSON,NA,MOTORCYCLE,N,75570,1,PROOF OF LIABILITY INSURANCE,FRONT END DAMAGE DISTRIBUTED IMPACT,DAMAGED 1 MINIMUM,12,LEFT SIDE DAMAGE ANGULAR IMPACT,DAMAGED 1 MINIMUM,NA,Y,KAMEL TOWING,11615 RAILROAD,OTHER (EXPLAIN IN NARRATIVE),NA,NA,WEST,Y,0,1,0,0,0,1,0
14863142,2,MOTOR VEHICLE,N,N,TX,JKAZX4K173A003387,2003,BLK,KAWASAKI,UNKNOWN,MOTORCYCLE,N,78247,1,LIABILITY INSURANCE POLICY,"MOTORCYCLE, SCOOTER, MOPED, ETC. ONLY",DAMAGED 1 MINIMUM,12,NA,NA,NA,N,OWNER,5222 CHAROLAIS ST,NONE,NA,NA,SOUTHWEST,Y,0,1,0,0,0,1,0
14863670,2,MOTOR VEHICLE,N,N,MX,3SCTGTKA8B1003618,2001,BLK,NA,NA,MOTORCYCLE,N,32416,1,LIABILITY INSURANCE POLICY,FRONT END DAMAGE DISTRIBUTED IMPACT,DAMAGED 3,12,NA,NA,NA,N,,,NONE,NA,NA,EAST,Y,0,1,0,0,0,1,0
14865251,2,MOTOR VEHICLE,N,N,TX,1HD1GDV151Y333644,2001,YEL,HARLEY-DAVIDSON,UNKNOWN,MOTORCYCLE,N,75154,1,PROOF OF LIABILITY INSURANCE,FRONT END DAMAGE DISTRIBUTED IMPACT,DAMAGED 2,12,NA,NA,NA,Y,A & H WRECKER SERVICE,"1603 SHAVER, PASADENA",NONE,NA,NA,NORTHWEST,Y,1,0,0,0,0,1,0
14866688,1,MOTOR VEHICLE,N,N,TX,JS1VS55AX92100097,NA,GRN,SUZUKI,NA,MOTORCYCLE,N,77802,1,PROOF OF LIABILITY INSURANCE,"MOTORCYCLE, SCOOTER, MOPED, ETC. ONLY",DAMAGED 1 MINIMUM,12,NA,NA,NA,N,,,NONE,NA,NA,SOUTHEAST,Y,0,0,0,1,0,0,0
14867443,3,MOTOR VEHICLE,Y,N,TX,1HD1KHM11CB645571,NA,YEL,HARLEY-DAVIDSON,UNKNOWN,MOTORCYCLE,N,79761,1,PROOF OF LIABILITY INSURANCE,"MOTORCYCLE, SCOOTER, MOPED, ETC. ONLY",DAMAGED 1 MINIMUM,1,NA,NA,NA,N,,,NONE,NA,NA,NORTHEAST,N,0,0,0,0,0,0,0
