CRASH_ID,UNIT_NBR,UNIT_DESC_ID,VEH_PARKED_FL,VEH_HNR_FL,VEH_LIC_STATE_ID,VIN,VEH_MOD_YEAR,VEH_COLOR_ID,VEH_MAKE_ID,VEH_MOD_ID,VEH_BODY_STYL_ID,EMER_RESPNDR_FL,OWNR_ZIP,FIN_RESP_PROOF_ID,FIN_RESP_TYPE_ID,VEH_DMAG_AREA_1_ID,VEH_DMAG_SCL_1_ID,FORCE_DIR_1_ID,VEH_DMAG_AREA_2_ID,VEH_DMAG_SCL_2_ID,FORCE_DIR_2_ID,VEH_INVENTORIED_FL,VEH_TRANSP_NAME,VEH_TRANSP_DEST,CONTRIB_FACTR_1_ID,CONTRIB_FACTR_2_ID,CONTRIB_FACTR_P1_ID,VEH_TRVL_DIR_ID,FIRST_HARM_EVT_INV_ID,INCAP_INJRY_CNT,NONINCAP_INJRY_CNT,POSS_INJRY_CNT,NON_INJRY_CNT,UNKN_INJRY_CNT,TOT_INJRY_CNT,DEATH_CNT
14988821,1,MOTOR VEHICLE,N,N,TX,1HD1BW512AB039860,NA,BLK,HARLEY-DAVIDSON,NA,MOTORCYCLE,N,77515,1,PROOF OF LIABILITY INSURANCE,LEFT SIDE DAMAGE ANGULAR IMPACT,DAMAGED 2,9,RIGHT SIDE DAMAGE ANGULAR IMPACT,DAMAGED 2,3,N,GARCIAS WRECKER,"1257 CHEVY CHASE ANGLETON, TX 77515",FAILED TO CONTROL SPEED,NA,NA,SOUTH,Y,0,1,0,0,0,1,0
14990040,2,MOTOR VEHICLE,N,N,TX,1HD4CR217EC433497,NA,BLK,HARLEY-DAVIDSON,UNKNOWN,MOTORCYCLE,N,79072,1,PROOF OF LIABILITY INSURANCE,LEFT SIDE DAMAGE ANGULAR IMPACT,DAMAGED 1 MINIMUM,8,NA,NA,NA,N,,,NONE,NA,NA,EAST,Y,0,0,0,2,0,0,0
14990274,1,MOTOR VEHICLE,N,N,TX,1HD1CGP174K434783,2004,RED,HARLEY-DAVIDSON,NA,MOTORCYCLE,N,75038,1,PROOF OF LIABILITY INSURANCE,RIGHT FRONT QUARTER DAMAGE ANGULAR IMPACT,DAMAGED 2,3,RIGHT SIDE DAMAGE ANGULAR IMPACT,DAMAGED 2,3,N,,,NONE,NA,NA,NORTH,Y,0,0,1,0,0,1,0
14991031,1,MOTOR VEHICLE,N,N,TX,JYAVP02E5YA005612,2000,BLK,YAMAHA,NA,MOTORCYCLE,N,76033,2,NA,DISTRIBUTED LEFT SIDE DAMAGE PARALLEL IMPACT,DAMAGED 1 MINIMUM,9,FRONT END DAMAGE CONCENTRATED IMPACT,DAMAGED 1 MINIMUM,12,N,,,FOLLOWED TOO CLOSELY,NA,NA,EAST,Y,0,0,0,1,0,0,0
14991859,3,MOTOR VEHICLE,N,N,TX,1HD4LE219DC442483,NA,BLK,HARLEY-DAVIDSON,UNKNOWN,MOTORCYCLE,N,77057,1,PROOF OF LIABILITY INSURANCE,"MOTORCYCLE, SCOOTER, MOPED, ETC. ONLY",DAMAGED 1 MINIMUM,NA,NA,NA,NA,Y,SARAH INVESTMENTS,4004 ARC,NONE,NA,NA,WEST,N,1,0,0,0,0,1,0
14992005,1,MOTOR VEHICLE,N,N,TX,JYAVP17E75A012135,2005,BLK,YAMAHA,UNKNOWN,MOTORCYCLE,N,75035,1,PROOF OF LIABILITY INSURANCE,BACK END (LEFT) DAMAGE PARTIAL CONTACT,DAMAGED 1 MINIMUM,7,NA,NA,NA,N,DRIVEN OFF BY OWNER,,DRIVER INATTENTION,OTHER (EXPLAIN IN NARRATIVE),NA,NORTHWEST,Y,0,0,0,1,0,0,0
14993316,1,MOTOR VEHICLE,N,N,WY,1S92P10736P771180,2006,BLU,OTHER (EXPLAIN IN NARRATIVE),OTHER (EXPLAIN IN NARRATIVE),MOTORCYCLE,N,82301,1,PROOF OF LIABILITY INSURANCE,"MOTORCYCLE, SCOOTER, MOPED, ETC. ONLY",DAMAGED 1 MINIMUM,NA,NA,NA,NA,Y,MAGNOLIA TOWING,"41902 FM 1774 MAGNOLIA, TX 77354",UNSAFE SPEED,UNDER INFLUENCE - DRUG,NA,NORTHEAST,Y,1,0,0,0,0,1,0
14993482,2,MOTOR VEHICLE,N,N,TX,1HD1BW519BB027707,NA,BLK,HARLEY-DAVIDSON,NA,MOTORCYCLE,N,78640,1,PROOF OF LIABILITY INSURANCE,"MOTORCYCLE, SCOOTER, MOPED, ETC. ONLY",DAMAGED 1 MINIMUM,4,NA,NA,NA,N,,,NONE,NA,NA,WEST,Y,0,0,0,1,0,0,0
14994620,2,MOTOR VEHICLE,N,N,TX,ZJTFRH00W0077893,1998,BLK,OTHER (EXPLAIN IN NARRATIVE),OTHER (EXPLAIN IN NARRATIVE),MOTORCYCLE,N,75205,2,NA,"MOTORCYCLE, SCOOTER, MOPED, ETC. ONLY",DAMAGED 1 MINIMUM,12,NA,NA,NA,N,,,NONE,NA,NA,WEST,Y,0,1,0,0,0,1,0
14996110,1,MOTOR VEHICLE,N,N,TX,JKBVNKD137A014085,2007,BLK,KAWASAKI,NA,MOTORCYCLE,N,79501,1,PROOF OF LIABILITY INSURANCE,"MOTORCYCLE, SCOOTER, MOPED, ETC. ONLY",DAMAGED 1 MINIMUM,NA,NA,NA,NA,Y,J.D.'S WRECKER,"3200 CR 195 ANSON, TEXAS  79501",UNDER INFLUENCE - ALCOHOL,NA,NA,NORTH,Y,1,0,0,0,0,1,0
