CRASH_ID,UNIT_NBR,PRSN_NBR,PRSN_TYPE_ID,PRSN_OCCPNT_POS_ID,PRSN_INJRY_SEV_ID,PRSN_AGE,PRSN_ETHNICITY_ID,PRSN_GNDR_ID,PRSN_EJCT_ID,PRSN_REST_ID,PRSN_AIRBAG_ID,PRSN_HELMET_ID,PRSN_SOL_FL,PRSN_ALC_SPEC_TYPE_ID,PRSN_ALC_RSLT_ID,PRSN_BAC_TEST_RSLT,PRSN_DRG_SPEC_TYPE_ID,PRSN_DRG_RSLT_ID,DRVR_DRG_CAT_1_ID,PRSN_DEATH_TIME,INCAP_INJRY_CNT,NONINCAP_INJRY_CNT,POSS_INJRY_CNT,NON_INJRY_CNT,UNKN_INJRY_CNT,TOT_INJRY_CNT,DEATH_CNT,DRVR_LIC_TYPE_ID,DRVR_LIC_STATE_ID,DRVR_LIC_CLS_ID,DRVR_ZIP
15316409,1,1,DRIVER,FRONT LEFT,KILLED,31,HISPANIC,MALE,NO,NONE,"DEPLOYED, FRONT",NOT APPLICABLE,N,OTHER (EXPLAIN IN NARRATIVE),NA,NA,OTHER (EXPLAIN IN NARRATIVE),NOT APPLICABLE,NOT APPLICABLE,10:00:00,0,0,0,0,0,0,1,DRIVER LICENSE,Mexico,OTHER/OUT OF STATE,
15317119,1,1,DRIVER,FRONT LEFT,KILLED,64,BLACK,MALE,NO,UNKNOWN,NOT DEPLOYED,NOT APPLICABLE,N,BLOOD,Positive,0.19,NONE,NOT APPLICABLE,NOT APPLICABLE,00:40:00,0,0,0,0,0,0,1,DRIVER LICENSE,Texas,CLASS C,76112
15322615,3,1,DRIVER,FRONT LEFT,KILLED,22,ASIAN,MALE,NO,SHOULDER & LAP BELT,DEPLOYED MULTIPLE,NOT APPLICABLE,N,NONE,NA,NA,NONE,NOT APPLICABLE,NOT APPLICABLE,14:30:00,0,0,0,0,0,0,1,DRIVER LICENSE,Texas,CLASS C,77840
15325224,2,1,DRIVER,FRONT LEFT,KILLED,32,HISPANIC,MALE,YES,UNKNOWN,"DEPLOYED, FRONT",NOT APPLICABLE,N,BLOOD,Positive,0.202,BLOOD,Positive,CANNABIS,03:04:00,0,0,0,0,0,0,1,ID CARD,Texas,UNLICENSED,77015
15329279,1,1,DRIVER,FRONT LEFT,KILLED,42,WHITE,MALE,NO,SHOULDER & LAP BELT,"DEPLOYED, FRONT",NOT APPLICABLE,N,BLOOD,Negative,0,BLOOD,Negative,NOT APPLICABLE,14:28:00,0,0,0,0,0,0,1,DRIVER LICENSE,Texas,CLASS C,76487
15329489,3,1,DRIVER,FRONT LEFT,KILLED,44,HISPANIC,MALE,NO,SHOULDER & LAP BELT,NOT DEPLOYED,NOT APPLICABLE,N,NONE,NA,NA,NONE,NOT APPLICABLE,NOT APPLICABLE,15:57:00,0,0,0,0,0,0,1,UNLICENSED,NA,UNLICENSED,77301
15330330,1,1,DRIVER,FRONT LEFT,KILLED,28,HISPANIC,MALE,NO,SHOULDER & LAP BELT,"DEPLOYED, FRONT",NOT APPLICABLE,N,BLOOD,Negative,0,BLOOD,Negative,NOT APPLICABLE,06:50:00,0,0,0,0,0,0,1,DRIVER LICENSE,Texas,CLASS A,
15334831,2,1,DRIVER OF MOTORCYCLE TYPE VEHICLE,FRONT LEFT,KILLED,50,HISPANIC,MALE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT WORN,N,NONE,NA,NA,NONE,NOT APPLICABLE,NOT APPLICABLE,18:56:00,0,0,0,0,0,0,1,DRIVER LICENSE,Texas,CLASS C AND M,79413
15339766,5,1,PEDESTRIAN,"PEDESTRIAN, PEDALCYCLIST, OR MOTORIZED CONVEYANCE",KILLED,37,HISPANIC,MALE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,N,NONE,NA,NA,NONE,NOT APPLICABLE,NOT APPLICABLE,21:59:00,0,0,0,0,0,0,1,COMMERCIAL DRIVER LIC.,Texas,CLASS A,79407
15344516,3,1,DRIVER,FRONT LEFT,KILLED,36,WHITE,MALE,NO,SHOULDER & LAP BELT,UNKNOWN,NOT APPLICABLE,N,NONE,NA,NA,NONE,NOT APPLICABLE,NOT APPLICABLE,19:02:00,0,0,0,0,0,0,1,COMMERCIAL DRIVER LIC.,Texas,CLASS A,79777
