CRASH_ID,UNIT_NBR,PRSN_NBR,PRSN_TYPE_ID,PRSN_OCCPNT_POS_ID,PRSN_INJRY_SEV_ID,PRSN_AGE,PRSN_ETHNICITY_ID,PRSN_GNDR_ID,PRSN_EJCT_ID,PRSN_REST_ID,PRSN_AIRBAG_ID,PRSN_HELMET_ID,PRSN_SOL_FL,PRSN_ALC_SPEC_TYPE_ID,PRSN_ALC_RSLT_ID,PRSN_BAC_TEST_RSLT,PRSN_DRG_SPEC_TYPE_ID,PRSN_DRG_RSLT_ID,DRVR_DRG_CAT_1_ID,PRSN_DEATH_TIME,INCAP_INJRY_CNT,NONINCAP_INJRY_CNT,POSS_INJRY_CNT,NON_INJRY_CNT,UNKN_INJRY_CNT,TOT_INJRY_CNT,DEATH_CNT,DRVR_LIC_TYPE_ID,DRVR_LIC_STATE_ID,DRVR_LIC_CLS_ID,DRVR_ZIP
15005473,2,1,DRIVER OF MOTORCYCLE TYPE VEHICLE,FRONT LEFT,KILLED,33,WHITE,MALE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT WORN,N,BLOOD,Positive,0.098,BLOOD,Negative,NOT APPLICABLE,02:34:00,0,0,0,0,0,0,1,DRIVER LICENSE,Texas,CLASS C AND M,78108
15009241,1,1,DRIVER,FRONT LEFT,KILLED,34,HISPANIC,MALE,YES,NONE,"DEPLOYED, FRONT",NOT APPLICABLE,N,BLOOD,Positive,0.169,NONE,NOT APPLICABLE,NOT APPLICABLE,21:18:00,0,0,0,0,0,0,1,DRIVER LICENSE,Texas,CLASS C,78415
15010732,1,1,DRIVER,FRONT LEFT,KILLED,18,HISPANIC,MALE,NO,UNKNOWN,NOT DEPLOYED,NOT APPLICABLE,N,OTHER (EXPLAIN IN NARRATIVE),NA,NA,OTHER (EXPLAIN IN NARRATIVE),UNKNOWN,UNKNOWN,14:01:00,0,0,0,0,0,0,1,DRIVER LICENSE,Texas,CLASS C,78596
15014078,1,1,DRIVER,FRONT LEFT,KILLED,42,WHITE,MALE,NO,SHOULDER & LAP BELT,NOT DEPLOYED,NOT APPLICABLE,N,BLOOD,Positive,0.256,BLOOD,Negative,NOT APPLICABLE,02:39:00,0,0,0,0,0,0,1,DRIVER LICENSE,Texas,CLASS C,77088
15023748,3,1,DRIVER,FRONT LEFT,KILLED,58,WHITE,MALE,"YES, PARTIAL",SHOULDER & LAP BELT,DEPLOYED MULTIPLE,NOT APPLICABLE,N,NONE,NA,NA,NONE,NOT APPLICABLE,NOT APPLICABLE,12:50:00,0,0,0,0,0,0,1,DRIVER LICENSE,Texas,CLASS C AND M,79707
15028089,1,1,DRIVER,FRONT LEFT,KILLED,40,HISPANIC,MALE,NO,SHOULDER & LAP BELT,DEPLOYED MULTIPLE,NOT APPLICABLE,N,BLOOD,Negative,0,BLOOD,Negative,NOT APPLICABLE,23:00:00,0,0,0,0,0,0,1,DRIVER LICENSE,Texas,CLASS C,78237
15035007,2,1,DRIVER,FRONT LEFT,KILLED,37,WHITE,MALE,NO,SHOULDER & LAP BELT,"DEPLOYED, FRONT",NOT APPLICABLE,N,BLOOD,Negative,0,BLOOD,Positive,MULTIPLE DRUGS (EXPLAIN IN NARRATIVE),20:56:00,0,0,0,0,0,0,1,DRIVER LICENSE,Texas,CLASS C,77054
15035132,2,1,PEDESTRIAN,"PEDESTRIAN, PEDALCYCLIST, OR MOTORIZED CONVEYANCE",KILLED,60,HISPANIC,MALE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,N,NONE,NA,NA,NONE,NOT APPLICABLE,NOT APPLICABLE,23:09:00,0,0,0,0,0,0,1,ID CARD,Texas,UNLICENSED,78596
15040954,2,1,DRIVER OF MOTORCYCLE TYPE VEHICLE,FRONT LEFT,KILLED,37,HISPANIC,MALE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,"WORN, DAMAGED",N,NONE,NA,NA,NONE,NOT APPLICABLE,NOT APPLICABLE,00:57:00,0,0,0,0,0,0,1,DRIVER LICENSE,Texas,CLASS C AND M,78417
15042067,2,1,DRIVER,FRONT LEFT,KILLED,37,HISPANIC,MALE,NO,UNKNOWN,"DEPLOYED, FRONT",NOT APPLICABLE,N,BLOOD,Negative,0,BLOOD,Negative,NOT APPLICABLE,10:28:00,0,0,0,0,0,0,1,DRIVER LICENSE,Texas,CLASS C,79915
15043627,1,1,DRIVER,FRONT LEFT,KILLED,20,WHITE,MALE,YES,NONE,NOT DEPLOYED,NOT APPLICABLE,N,OTHER (EXPLAIN IN NARRATIVE),NA,NA,NONE,NOT APPLICABLE,NOT APPLICABLE,15:32:00,0,0,0,0,0,0,1,DRIVER LICENSE,Texas,CLASS C,77351
15044429,3,1,PEDESTRIAN,"PEDESTRIAN, PEDALCYCLIST, OR MOTORIZED CONVEYANCE",KILLED,27,WHITE,MALE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,N,BLOOD,Negative,0,BLOOD,Negative,NOT APPLICABLE,01:15:00,0,0,0,0,0,0,1,NA,NA,NA,70607
15052787,1,1,DRIVER OF MOTORCYCLE TYPE VEHICLE,FRONT LEFT,KILLED,24,HISPANIC,MALE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,"WORN, DAMAGED",N,BLOOD,Negative,0,BLOOD,Positive,CANNABIS,20:48:00,0,0,0,0,0,0,1,DRIVER LICENSE,Texas,CLASS C,75236
15053449,2,1,DRIVER,FRONT LEFT,KILLED,32,WHITE,MALE,NO,SHOULDER & LAP BELT,DEPLOYED MULTIPLE,NOT APPLICABLE,N,NONE,NA,NA,NONE,NOT APPLICABLE,NOT APPLICABLE,09:17:00,0,0,0,0,0,0,1,DRIVER LICENSE,Texas,CLASS C,76692
15070158,3,1,DRIVER,FRONT LEFT,KILLED,57,WHITE,MALE,NO,SHOULDER & LAP BELT,NOT DEPLOYED,NOT APPLICABLE,N,NONE,NA,NA,NONE,NOT APPLICABLE,NOT APPLICABLE,11:06:00,0,0,0,0,0,0,1,DRIVER LICENSE,Texas,CLASS C,77627
15072267,1,1,DRIVER,FRONT LEFT,KILLED,59,WHITE,MALE,NO,UNKNOWN,"DEPLOYED, FRONT",NOT APPLICABLE,N,NONE,NA,NA,NONE,NOT APPLICABLE,NOT APPLICABLE,19:24:00,0,0,0,0,0,0,1,COMMERCIAL DRIVER LIC.,Tennessee,OTHER/OUT OF STATE,38326
