CRASH_ID,UNIT_NBR,PRSN_NBR,PRSN_TYPE_ID,PRSN_OCCPNT_POS_ID,PRSN_INJRY_SEV_ID,PRSN_AGE,PRSN_ETHNICITY_ID,PRSN_GNDR_ID,PRSN_EJCT_ID,PRSN_REST_ID,PRSN_AIRBAG_ID,PRSN_HELMET_ID,PRSN_SOL_FL,PRSN_ALC_SPEC_TYPE_ID,PRSN_ALC_RSLT_ID,PRSN_BAC_TEST_RSLT,PRSN_DRG_SPEC_TYPE_ID,PRSN_DRG_RSLT_ID,DRVR_DRG_CAT_1_ID,PRSN_DEATH_TIME,INCAP_INJRY_CNT,NONINCAP_INJRY_CNT,POSS_INJRY_CNT,NON_INJRY_CNT,UNKN_INJRY_CNT,TOT_INJRY_CNT,DEATH_CNT,DRVR_LIC_TYPE_ID,DRVR_LIC_STATE_ID,DRVR_LIC_CLS_ID,DRVR_ZIP
14848300,2,1,DRIVER,FRONT LEFT,KILLED,38,WHITE,MALE,NO,SHOULDER & LAP BELT,NOT DEPLOYED,NOT APPLICABLE,N,BLOOD,Negative,0,BLOOD,Positive,CNS STIMULANTS,04:43:00,0,0,0,0,0,0,1,DRIVER LICENSE,Texas,CLASS C,76574
14851818,2,1,DRIVER,FRONT LEFT,KILLED,29,HISPANIC,MALE,NO,SHOULDER & LAP BELT,"DEPLOYED, FRONT",NOT APPLICABLE,N,NONE,NA,NA,NONE,NOT APPLICABLE,NOT APPLICABLE,04:06:00,0,0,0,0,0,0,1,DRIVER LICENSE,Texas,CLASS C,78202
14851954,2,1,DRIVER,FRONT LEFT,KILLED,26,WHITE,MALE,NO,SHOULDER & LAP BELT,DEPLOYED MULTIPLE,NOT APPLICABLE,N,BLOOD,Negative,0,BLOOD,Negative,NOT APPLICABLE,22:39:00,0,0,0,0,0,0,1,DRIVER LICENSE,Texas,CLASS C,79849
14852533,2,1,PEDESTRIAN,"PEDESTRIAN, PEDALCYCLIST, OR MOTORIZED CONVEYANCE",KILLED,37,BLACK,MALE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,N,OTHER (EXPLAIN IN NARRATIVE),NA,NA,OTHER (EXPLAIN IN NARRATIVE),UNKNOWN,UNKNOWN,10:41:00,0,0,0,0,0,0,1,DRIVER LICENSE,Mississippi,OTHER/OUT OF STATE,38930
14854567,3,1,DRIVER,FRONT LEFT,KILLED,77,BLACK,MALE,NO,SHOULDER & LAP BELT,NOT DEPLOYED,NOT APPLICABLE,N,NONE,NA,NA,NONE,NOT APPLICABLE,NOT APPLICABLE,07:32:00,0,0,0,0,0,0,1,DRIVER LICENSE,Texas,CLASS C,77412
14855362,2,1,PEDESTRIAN,"PEDESTRIAN, PEDALCYCLIST, OR MOTORIZED CONVEYANCE",KILLED,56,HISPANIC,MALE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,N,BLOOD,Positive,0.246,BLOOD,Negative,NOT APPLICABLE,19:27:00,0,0,0,0,0,0,1,ID CARD,Texas,UNLICENSED,78207
14857005,2,1,PEDESTRIAN,"PEDESTRIAN, PEDALCYCLIST, OR MOTORIZED CONVEYANCE",KILLED,62,HISPANIC,MALE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,N,NONE,NA,NA,NONE,NOT APPLICABLE,NOT APPLICABLE,14:15:00,0,0,0,0,0,0,1,COMMERCIAL DRIVER LIC.,Texas,CLASS B,77082
14857716,2,1,DRIVER,FRONT LEFT,KILLED,30,WHITE,MALE,NO,SHOULDER & LAP BELT,"DEPLOYED, FRONT",NOT APPLICABLE,N,BLOOD,Negative,0.061,BLOOD,Negative,NOT APPLICABLE,18:28:00,0,0,0,0,0,0,1,DRIVER LICENSE,Texas,CLASS C,77471
14859488,1,1,DRIVER,FRONT LEFT,KILLED,80,WHITE,MALE,NO,SHOULDER & LAP BELT,"DEPLOYED, FRONT",NOT APPLICABLE,N,NONE,NA,NA,NONE,NOT APPLICABLE,NOT APPLICABLE,12:23:00,0,0,0,0,0,0,1,DRIVER LICENSE,Texas,CLASS C,76502
14860490,2,1,PEDESTRIAN,"PEDESTRIAN, PEDALCYCLIST, OR MOTORIZED CONVEYANCE",KILLED,21,WHITE,MALE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,N,BLOOD,Negative,0.01,BLOOD,Negative,NOT APPLICABLE,00:39:00,0,0,0,0,0,0,1,NA,NA,NA,
14872926,2,1,DRIVER,FRONT LEFT,KILLED,79,WHITE,MALE,NO,SHOULDER & LAP BELT,DEPLOYED MULTIPLE,NOT APPLICABLE,N,NONE,NA,NA,NONE,NOT APPLICABLE,NOT APPLICABLE,18:34:00,0,0,0,0,0,0,1,DRIVER LICENSE,Texas,CLASS C,78610
14882267,3,1,PEDESTRIAN,"PEDESTRIAN, PEDALCYCLIST, OR MOTORIZED CONVEYANCE",KILLED,25,WHITE,MALE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,N,NONE,NA,NA,NONE,NOT APPLICABLE,NOT APPLICABLE,22:38:00,0,0,0,0,0,0,1,NA,NA,NA,77707
14883240,2,1,DRIVER OF MOTORCYCLE TYPE VEHICLE,FRONT LEFT,KILLED,18,WHITE,MALE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,"WORN, DAMAGED",N,NONE,NA,NA,NONE,NOT APPLICABLE,NOT APPLICABLE,05:21:00,0,0,0,0,0,0,1,DRIVER LICENSE,Texas,CLASS C,77357
14888452,1,1,DRIVER,FRONT LEFT,KILLED,64,WHITE,MALE,NO,SHOULDER & LAP BELT,"DEPLOYED, FRONT",NOT APPLICABLE,N,NONE,NA,NA,NONE,NOT APPLICABLE,NOT APPLICABLE,06:17:00,0,0,0,0,0,0,1,COMMERCIAL DRIVER LIC.,Texas,CLASS A,77625
14889651,2,1,PEDALCYCLIST,"PEDESTRIAN, PEDALCYCLIST, OR MOTORIZED CONVEYANCE",KILLED,69,WHITE,MALE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT WORN,N,NONE,NA,NA,NONE,NOT APPLICABLE,NOT APPLICABLE,08:33:00,0,0,0,0,0,0,1,COMMERCIAL DRIVER LIC.,Texas,CLASS A,77327
14894536,2,1,DRIVER OF MOTORCYCLE TYPE VEHICLE,FRONT LEFT,KILLED,53,WHITE,MALE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,"WORN, DAMAGED",N,NONE,NA,NA,NONE,NOT APPLICABLE,NOT APPLICABLE,13:55:00,0,0,0,0,0,0,1,DRIVER LICENSE,Texas,CLASS C AND M,76036
